,advertiser,industry,job_category,job_description,job_title,job_type,link,location,posting_date,salary,search_word,sub_location
506,AC3 Pty Limited,Information & Communication Technology,", Developers/Programmers","About the role You will join a dedicated team with the mission to democratize company data by providing a reliable, real time robust and constantly evolving Big Data ecosystem. This solution is the central reference point
        for all internal and external partners in search of actionable insights and decision support solutions such as analytics reports, dashboards, predictive analysis, forecast, machine learning, root cause analysis, among others, based on the Network
        and Asset internal and external data.

Ingest Google Travel Time and Traffic counter data into the AWS S3
Ingest and transformation of Google Travel Time and Traffic into AWS Redshift
Create repeatable and modular ETL Job patterns in accordance with the architecture
Accountable for the delivery of ETL Jobs, including development, testing and implementation
 Deliverables:

Development of automated patterns for ingestion, transformation of Google travel time and traffic volume counter data in accordance with Architectural guidelines
Development and testing of ELT/ELT jobs in accordance with the ingestion framework
Documentation which adheres with the data governance guidelines
 Skills & experience

Experience with various ingestion patterns for large data sets and architecture for ingestion
Solid experience with ETL/ELT design - Talend highly beneficial
Experience with Core AWS Technologies (EC2, ECS, Lambda, S3, SQS, SNS, RDS, Redshift, Dynamo DB, EMR,CodeDeploy, CodeCommit)
Experience with Data modelling techniques (ERWIN)
Experience developing data pipelines
Hands-on experience developing test cases and test plans.
Strong background in API and Integration development.
Experience in agile methodology.
Coding and testing skills with programming languages beneficial: Java, Scala, Python or SQL
Team player, collaborative approach and excellent communication skills
Excellent verbal and written communication skills.

",BI Developer,Contract/Temp,https://www.seek.com.au/job/38932224?type=standard&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,2 May 2019,$600-$700,research scientist,", Parramatta & Western Suburbs"
507,Mane Consulting,Science & Technology,", Mathematics, Statistics & Information Sciences","My client is hiring a Senior Data Scientist in Sydney CBD to work alongside some of the largest firms in Australia. Through this role, you will get to expand your skillset, use creative problem solving, and immediately jump in as a critical part of a team for a brand new project.Role & Responsibilities:  Spearhead a new and exciting project with a small and dynamic team of data scientists. Engage in groundbreaking projects while gaining valuable leadership skills and training. Gain early access to a stellar team on the ground floor at a family friendly company that looks to work alongside employees to reach their personal and career goals. Requirements:  Knowledge of ETL Pipeline Creation. Proficiency with SQL and BI Tools. 5+ years of applied industry machine learning, optimisation and/or statistics experience Advanced Python or R programming experience and related data science libraries (such as scikit-learn, Pandas, Tensorflow/Keras) Strong SQL database and code versioning (e.g., Git) skills Good software engineering principles Project management / team management experience Experience with data visualisation tools or frameworks i.e. tableau, D3.js, ggplot2 etc. All Experiences within an AWS/Big Data Environment Interviewing this week apply NOW to save disappointment.Apply below with CV in WORD format  Or call Mark for more details on 02 8135 2194 Another fantastic role by Mark Cornwel-Smith, bringing you the best jobs in the Data and Analytics arena for over a decade.   Successful applicants must be flexible in making  themselves available for interviews at the employers request.  Please ensure your full legal name (as it appears in your passport) is included at the top of your CV. Mane Consulting has extensive experience in the Data Analytics market, with dedicated specialists focusing on these areas exclusively. Our enviable expertise in this sector, makes Mane the ideal agency to contact - whether you are looking for the next step in your career, or seeking the ideal candidate, why not talk to the data experts. ",Senior Data Scientist,Full Time,https://www.seek.com.au/job/38876502?type=standout&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,24 Apr 2019,"$150,000 - $179,999",research scientist,", CBD, Inner West & Eastern Suburbs"
508,"Randstad - Sales, Marketing & Communications",Sales,", New Business Development","
The Company
Founded in 2013 by two Cambridge University professors, this company is leading the way in Cyber Security Technology using AI & Machine Learning. With their unparalleled methodology and the best technology in Cyber Security, they have grown
          exponentially and have continued to sign with some of the biggest brands in the world as their clients.
 
The role
As an Account Executive, your role is to engage with as many new businesses as you can. You'll be given autonomy to win your own business and provided support by the businesses SMEs, account managers and analysts to close deals. 
 
Duties

Establish new business and opportunity in your territory
Creating your own business within a bigger business
Work closely with internal technical staff to help close business

 
Skills & experience

You NEED to be degree qualified (preferably in Maths or similar)
1-2+ years sales experience
An ability to pick things up quickly
Have an outgoing and confident personality

 
Culture
If you're passionate about what you do and enjoy being surrounded by similar and likeminded individuals, this is the opportunity for you. You'll be joining a team of motivated and easy going individuals who all work together well and enjoy a beer
          or two together on Fridays. 
 
Benefits

Training in the UK or America
Uncapped commissions 
Beautiful offices in the CBD
A chance to work for a company who are leading the way in Cyber Security and genuinely help businesses

 
How to apply
If you’re interested in finding out more, please apply NOW or email helen.huang@randstad.com.au.
At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background.
",Account Executive,Full Time,https://www.seek.com.au/job/38862651?type=standout&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,23 Apr 2019,"$60,000 - $75,000 p.a. + Super + OTE",research scientist,", CBD, Inner West & Eastern Suburbs"
509,2XM Technology Pty Ltd,Information & Communication Technology,", Developers/Programmers","
The CompanyGlobally recognised organisation who holds an extremely reputable brand name. They are currently expanding their BI & Analytics team to meet new business transformation projects using data provided solutions.Duties & Requirements:

Develop dashboards and reports using SSRS, Power BI, SSIS and SSAS.
Analyze, manipulate and understand data to present and create dashboards and reports to make business decisions
Support the database development and production of custom applications for integration and collaboration initiatives
Assist developers on the database design of custom applications providing recommendations and improvements
Integrate systems, data and other databases by using SSIS or similar
Evaluate and recommend new database and BI technologies
Familiar with third party software that complements with MS SQL
Develop dashboards and reports using SSRS, Power BI, SSIS and SSAS
Monitor and support MS SQL, Azure databases

Reward

Generous pay + promotions
Career growth working with newest technologies 
Company that believes in promoting internally 
Latest tech stack and exceptional training 
Amazing office located near public transport
Globally recognised company who is very well established 


If you would like to apply for this job please do through the seek portal, alternatively you can send your application direct to me at mike.kairouz@2xmtechnology.com.auIts imperative that all candidates have excellent communication
          skills and preferably, local experience in a similar position.I welcome all referrals, if you are unavailable and know someone who may be suitable please pass my details on.

",MSBI Developer,Full Time,https://www.seek.com.au/job/38898703?type=standard&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,29 Apr 2019,NA,research scientist,", North West & Hills District"
510,Lookahead Search,Information & Communication Technology,", Engineering - Software","THE ROLE We're looking for someone who loves BACKEND development. You will be involved in the API, microservices & serverless application build, help prioritise stories and of course write a lot of code. You'll work within
        a talented engineering team to implement a slick and delightful backend microservices architecture, and will have bucket loads of autonomy.    YOU'LL NEED Ideally you'll have had significant experience working
        with backend technologies including - NodeJS, Typescript, NoSQL, Serverless Applications and AWS. Knowledge and experience with continuous integration, automated testing, Agile development, CI/CD would be a great benefit.    THE OFFER

A great, people-centric established global business
Genuine opportunities to push boundaries with Google's NLU
Location: a stone's throw from North Sydney train station
Flexible work environment with work-from-home options
Initial 6 months contract with permanent placement after
 APPLY NOW Applying is easy. Send an email with your resume, website, Github account, links to apps or anything else you're proud of. At that point I'll tell you more about the role and we can decide if there's a fit.           I'm a technical recruiter who until recently was working full stack. I love to talk all things tech and I'm passionate about connecting excellent people to awesome opportunities. If this role isn't quite right, but you're a passionate Agile, Ruby
        on Rails, or Javascript professional, feel free to get in touch anyway.    Shaila Man shaila@lookahead.com.au | @silky098 | www.lookahead.com.au ",Backend NodeJS/TypeScript Engineer (Contract to Perm),Contract/Temp,https://www.seek.com.au/job/38854426?type=standout&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,18 Apr 2019,NA,research scientist,", CBD, Inner West & Eastern Suburbs"
511,FIRESOFT Consulting,Information & Communication Technology,", Business/Systems Analysts","
Senior Data Scientist - Surry Hills, Sydney, Australia
About the company:
One of Australia’s leading retail organisations based in Surry Hills is looking for a Data Scientist to lead their huge BI transformation project.
About the Role:
The Purpose of this role is to define and execute the customer data products strategy/road map and deliver projects on time within scope with an in-depth knowledge of big data and cutting-edge data mining techniques as well as the use of predictive,
          classification and alternate analytic algorithms for modelling and segmentation. It will be your job to:

Work with a growing team of 15 Data Scientists to lead the design, implementation and testing of customer data products such as personalisation engine, decision engine etc.
Opportunity to work with both AWS and GCP and no restriction in regards to technology
Ensure quality control and oversight of model outputs within the customer product
Managing both internal and external stakeholders for the successful launch of new product features
Being the single point of contact for all stakeholders to ensure outcomes are delivered and that we deliver value
Develop and maintain state of the art advanced statistical and machine learning models (GLM, Random Forests, GBM, xGBoost, etc) to drive marketing strategies and tactical executions

What you need to succeed:

7 to 10 years’ experience developing predictive models in commercial environments, preferably exposure to Sales and Marketing
Proficiency in some of the following statistical techniques: Linear & Logistics Regression, Decision Trees, Random forests, Markov Chains, Support Vector Machines, Neural Networks, Clustering, Principal Component Analysis, Factor Analysis,
            etc.
Experienced with data analytics products and ideally big data challenges
Experience in developing class-leading algorithms to drive commercial outcomes
Proven commercial experience in statistical and machine learning modelling, with experience manipulating and ‘making sense’ of big data from disparate systems
Advanced working knowledge of analytical programming: SQL, SAS, R or Python
Experience with SQL essential; exposure to AWS Redshift or Teradata preferred
Exposure to Big Data platforms, such as Hadoop and Spark
Experience in leading and mentoring teams of data scientists
Tertiary qualified in relevant discipline (Statistics, Data Science, Mathematics, Computer Science). PHD Preferred

We have already launched a headhunt drive for this role - if you feel that this is the next step in your career, apply now!!
",Senior Data Scientist,Full Time,https://www.seek.com.au/job/38828933?type=standard&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,16 Apr 2019,NA,research scientist,", CBD, Inner West & Eastern Suburbs"
512,:86 400,Banking & Financial Services,", Compliance & Risk","OUR STORY We believe it’s time for a new type of bank. One that steps up and does the right thing by its customers; that puts them first. One that is relevant and meaningful in today’s world. We’re that new type of bank. We’re digital only, and harness the capabilities of technology, data and artificial intelligence to deliver an entire bank in the palm of your hand. We exist solely to serve our customers - to give them a smarter, more personalised banking experience. We are constantly adapting and evolving to help customers make better, more informed financial decisions. We do things in real time, to bring real value to their lives. We put them first. And we do this every second, of every minute, of every day. All 86,400 of them. We’re 86 400.   YOUR WHY As Financial Crime Manager you are responsible for the development, implementation and maintenance of operational risk management strategies, programs and policies and ensure compliance with those policies and prudential standards to minimise potential for loss. This role reports to the Head of Operational Risk.   HOW YOU’LL SPEND YOUR TIME AT 86,400  While you should be able to work across all aspects of the Digital Bank (including deposit and lending products) your primary focus will be operational risk. Your key tasks will include:   Fraud Risk Management Policy:  Maintain the overarching Fraud Risk Management Policy Manage and maintain related Policy and Process documents Maintain the Protecht iRisk system such that all entries relating to Fraud Risk Management are up to date and outputs reflect the current status of the controls within the business Keep abreast of industry developments through active reading, attendance at suitable industry events and establishing a network with you peers in the industry Challenge the business to optimise Financial Crime, balancing investment in controls with value that the controls bring   Fraud Risk Management: Support business units in their understanding, identification and management of Financial Crime.   Identify, prevent and detect scams and fraud related activities related to banking products and offerings Educate and guide business units on essential methods of fraud and financial loss prevention Define and communicate critical methods of action for the business and its customers after evaluating fraud and scams Assess dispute files to identify banks recovery opportunities and take immediate action as required Ensure you’re updated and aware on financial crime, security related trends and emerging issues Escalate cases which may require further attention in a timely and efficient manner   Risk Support:  Reporting provided to the Board Risk Committee Facilitate and conduct Business Unit Financial Crime workshops Undertake due diligence activities on an ‘as needs’ basis in conjunction with Business Units   Compliance:  Ensure compliance with legislative requirements and relevant APRA Prudential Standards Ensure preparedness for future regulatory developments   WHAT MAKES YOU TICK   You thrive in fast paced, ever changing working environments You communicate openly, quickly, transparently and clearly You can effectively manage change, and assess the impact of change on requirements and impact on delivery You can effectively manage conflict and issues to resolution You can manage conflicting priorities quickly and effectively You can easily adapt to a changing environment, and maintain a high level of personal resiliency You can create clarity out of ambiguity to deliver outcomes, using structured analytical and problem-solving abilities You enjoy multi-tasking, and enjoy variety in your workday   WHAT YOU WILL BRING TO 86 400  At least 5 years’ experience in a similar role/ working within fraud/ financial crime Understanding of financial crimes and payment fraud within the context of business, technology and operations A deep understanding of digital payments and existing fraud monitoring solution Experience working with machine learning / artificial intelligence technologies, particularly in transaction monitoring Strong analytical and investigation skills Excellent written and verbal communication skills Excellent attention to detail Understanding of relevant APRA standards Knowledge of AFSL licensing and regulatory requirements   Essential:  Proven experience of Financial Crime in financial services Understanding of Operational Risk/ Compliance/ Audit within the banking industry Experience in dealing with regulators   Desirable:  Experience in a greenfield or start-up organisation A qualification in security and risk management   VALUES. EVERY SECOND  Customer. Customer. Customer - We put the customer’s best interests at the forefront of everything we do. We believe financial success will follow customer success. Agile and Brave - Constantly collaborating in new ways to create something genuinely innovative. Value Each Other - We respect everyone’s contribution, embracing a common goal and championing individuality. Frank and Authentic - A high performing team who say what we mean and mean what we say to create a strong team culture. Show Up - We bring our passion, positivity and sense of fun every day to embrace the challenges of changing the banking game.",Financial Crime Manager,Full Time,https://www.seek.com.au/job/38993467?type=standout&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,10 May 2019,NA,research scientist,", CBD, Inner West & Eastern Suburbs"
513,Ethos BeathChapman,Information & Communication Technology,", Developers/Programmers","
We are looking for a Data Scientist for one of our end user clients based in Sydney CBD.  In this role, you will be working in a newly formed team to build a technology platform that enables rapid generation, simulation and analysis of
          projects. This is an exciting time to be joining the business and you will be given the freedom and flexibiliy to be creative and voice your opinion. The business needs somebody with a history of working through complex challenges and creating
          and implementing innovative solutions.  In this enviornment, you will be given the opportunity to develop and deploy solutions using Python, R, Matlab, Stata and SQL. Working on a significant and new project, applying your financial
          and economic analysis skills will have a significant impact on how the business operates in the future.  You will be given the responsibility of leading the software system architecture and design to bring statistical analysis into the
          platform. You will provide recommendations and technical leadership on projects.   We need somebody that has the right attitude to collaborate with technical team members and key stakeholders as well as having strong technical skills.  The ideal candidate will be passionate about analytics.
SKILLS & EXPERIENCE


Strong experience in analytical tools, processes and practices


Worked with R, Python or other opensource tools


Worked with AWS tools like Athena, Glue, Lambda and RedShift


Strong SQL skills


Data Visualisation skills


Hands on experience with econometric and machine learning toolkits


Strong written and verbal communication skills


Strong stakeholder management skills


Passionate about analytics


 
This is a fast paced, high energy environment.  If the above sounds like you, please get in touch. We can wait for a notice period to be served and we are interviewing immediately.
For further information on this role or to confidentially apply, please contact Rik English on 02 8227 9200  or apply directly via the Apply for this job button.
          Only WORD FORMAT resumes will be accepted.
",Data Scientist - 6 Months Contract,Full Time,https://www.seek.com.au/job/38873206?type=standout&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,24 Apr 2019,"Up to $1,500 p.d. including super",research scientist,", CBD, Inner West & Eastern Suburbs"
514,Agile Analytics,Administration & Office Support,", PA, EA & Secretarial","What we are looking for: We are looking for a capable Personal Assistant to the Managing Director. This can be Full-time or Part-time with flexible hours. A people person, skilled at collaborating with people, liaising with clients, partners and sales team. Organised and efficient, fast learner, capable of being the support to the MD and the team. Responsibilities: - Manage GM schedule, arranging meetings, booking venues and meetings. - Liaise with Sales and Marketing teams   - Acting as the first point of contact with GM for all enquiries. - Handling telephone enquiries. - Ad-hoc tasks as needed   Attributes - People skills, friendly and approachable, with excellent communication skills. - Well organised, excellent time management skills, great attention to detail - ""Can do"" attitude, driven and energetic. - A fantastic and fast learner   Nice-to-have attributes: -Previous PA experience   What's in it for you? A great chance to join a fast growing company, learn about business and work with large clients and global brands. We are an energetic, flexible and professional team who love what we do.    About the company: We are a growing tech company and Microsoft Gold Partner based in Sydney and specialised in data analytics & machine learning.   www,agile-analytics.com.au   How to apply: Please include in your application:  CV and Cover Letter Visa Status Expected hourly rate LinkedIn profile link For Part-time, please specify your availability during the week and the number of hours you can work   Location: Sydney CBD, NSW, Australia Job Type: Full-time or Part-time with flexible hours STRICTLY NO AGENCIES Please note that our Company Policy dictates direct recruitment only  ",Personal Assistant,Part Time,https://www.seek.com.au/job/38859468?type=standard&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,20 Apr 2019,NA,research scientist,", CBD, Inner West & Eastern Suburbs"
515,Sirius Technology Sydney part of Sirius People Pty Ltd,Information & Communication Technology,", Other","

Opportunity to work with large volume of complex data
Fast-paced and challenging environment
Sydney CBD and be part of a great team

Our client is highly recognised for their passion and deep expertise in helping Australian and global businesses to drive data-driven solutions. This role will see you working closely with their external clients in gathering requirements, building
          compelling analysis and delivering actionable insights.
There is a lot of fun in this role to be had but also you will be delivering into a challenging environment and therefore, definitely NOT a role for the faint-hearted.
Key responsibilities:

Analyse large datasets, discover and analyse trends and insights
Develop financial and statistical models based on requirements and projects
Generate reports to deliver and present actionable insights and recommendations
Communicating across different financial project, functional teams and key stakeholders on end-to-end data solutions

Essential Skillset:

Bachelor’s degree in Data Science, Economics, Finance, Mathematics or Quantitative disciplines
Minimum 3 years of experience in data analyst role with a strong focus financial data - preferably with consulting background 
Solid exposure in building Machine Learning and Advanced Analytics models
Solid technical background in R, Python, SQL , Advanced Excel
Visualisation tools - Power BI, Tableau
Excellent communication skills - both verbal and written
Proven stakeholder engagement skills

Apply now if you looking for a fast-paced and challenging role. Fei Wong 02 9270 5292 / fwong@siriustechnology.com.au
 
 
",Data Analyst - Financial Modelling,Full Time,https://www.seek.com.au/job/38856452?type=standard&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,18 Apr 2019,NA,research scientist,", CBD, Inner West & Eastern Suburbs"
516,Bluefin Resources Pty Limited,Banking & Financial Services,", Analysis & Reporting","
An opportunity exists for a Financial Crime Analyst within a leading financial institution in Sydney.
In this role you will be involved in collecting, analysing and modelling data which relates to financial crime, information security & security risks. This includes involvement in investigating incidents through data mining and analysis, researching
          financial crime, information security and security related trends and emerging issues, and identifying triggers to alert suspicious behaviour. 
Duties would include;

Identify patterns & characteristics within data to drive the development of fraud mitigation strategies
Optimisation and development of new detection scenarios
Utilise statistical modelling/machine learning to drive predictive capability
Work with key business partners to improve detection performance

Requirements: 

A degree in a numerate discipline such as Statistics, Mathematics, Actuarial Studies
Programming skills in either SAS, R, SQL or Python
Graduate to no more than 2 years commercial experience 
Experience manipulating and mining large datasets to draw insights
An interest in games such as chess, poker or blackjack would be beneficial - a similar thought process goes into solving financial crime
Strong communication skills

To apply, please send your resume through the link below or for more information please contact Alex Slocombe on 02 9270 2602
IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.
http://www.bluefinresources.com.au/privacy-policy
","Fraud Analyst | SAS, SQL, R or Python",Full Time,https://www.seek.com.au/job/38855411?type=standard&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,18 Apr 2019,NA,research scientist,", CBD, Inner West & Eastern Suburbs"
517,Foxtel,Information & Communication Technology,", Other","At Foxtel, we’re bringing television to Australians like never before. Our mission is to provide Australia’s best value streamed and live sport, movies, drama, news and entertainment experience.
We work as a team, we’re agile and we’re accountable. We put the customer first and we’re passionate about what we do. We have fun and we’re different, better, special.Our Data & Analytics Department is seeking a Senior Data Scientist to solve FoxCo commercial and customer problems by the application of data science.  
Your purpose

Lead components of the design, implementation and management of the Data Science capability across FoxCo
Articulate customer and commercial benefit through use of data and analytics capability
Significantly contribute to the development and implementation of the Data Science Roadmap
Provide proactive research into emerging trends, utilising your understanding of market context as well as your own network of advisors
Lead the delivery of Data Science projects
Assist with the development, management and application of the catalogue of Data Science services
Proactively create new and innovative Data Science services
Contribute to the ‘Program of Innovation’, providing business opportunities and further development to your team 
Deliver accurate and practical Data Science solutions, articulating the commercial impact and actionable recommendations
Lead a team and drive processes improvements

Your capability

Master’s degree in Data Science, Computer Science, Engineering, Economics, Statistics,  Mathematics or Actuarial Studies
4+ years’ experience in a senior role within a Data Science or Advanced Analytics team 
Proven track record delivering complex Data Science solutions with material commercial benefit
Highly proficient coding skills across at least 2 of either R/Python/SQL, with the ability to articulate and demonstrate good coding practices  
Expert in data preparation and manipulation
Highly proficient across many standard and cutting-edge Statistical/Predictive/Machine Learning/Supervised and Unsupervised techniques
An Advanced user of data visualisation techniques to tell the story of data. Tools including (but not limited to) Plotly, ggplot2, matplotlib, MS Excel, MS PowerPoint, Tableau
A creative problem solver with an inquisitive nature  
Ability to communicate well and discuss complex topics with both technical and business audiences
Self-sufficient in managing projects end-to-end with moderate support

What’s in it for you?We have a benefits program with something for everyone.  But we’re in the entertainment business and we connect Australians to all the stories they love, so what would a Foxtel benefits program be without a free Foxtel subscription and discounted broadband!Above all, we love entertainment and, if you do too, you’ll love working with us.  So if you’re excited about this opportunity, please click ‘Apply now’.
 
",Senior Data Scientist,Full Time,https://www.seek.com.au/job/38921171?type=standout&searchrequesttoken=b8c7482a-9ae5-4be4-83de-c824d23986d6,Sydney,1 May 2019,NA,research scientist,", Ryde & Macquarie Park"
518,ABM Systems,Information & Communication Technology,", Consultants","Company Background ABM is focused on improving Enterprise Performance Management servicing medium to large clients across Australia. We utilise best of breed methodologies and systems to enable better:  Strategic Planning Financial Management Data Management Reporting & Analytics Performance Management Role and Responsibilities We are seeking a new team member experienced in data management and analytics from a Microsoft perspective. We are looking for a person with strong business acumen, preferably with a consulting background.  Your main responsibility will be to service the advanced data management and predictive analytics needs of our clients.  You would be required to take the role as the lead architect in designing data warehouses and cubes using industry standards, the latest technologies and best practices.You will have data warehouse / business intelligence design and build experience and awareness of newer data management methodologies and tools. Skills / Experience Must Have  Microsoft BI/DW stack design, build and project management experience including SQL Server, T-SQL, SSIS, SSAS, SSRS, Visual Studio, Tabular, PowerBI and .Net. Ability to communicate with both technical & non-technical audiences as a coach and mentor Highly Regarded  Experience in Advanced Analytics including Machine Learning and Predictive Modelling, Cluster Analysis, Forecasting, Data Patterns Analysis Useful  Experience with other data management technologies such as Oracle Essbase VBA. Programming skills especially C#, SQL, MDX, DAX, HTML, R or Python Cloud, especially Azure experience Data visualisation - exposure to Power BI (& Qlik) would be an advantage Ability to solve analytical business problems Qualifications Relevant degree(s) such as Computer Science, Engineering, Statistics, Mathematics or Business. MS Certifications in Developing SQL Data Models (768), Implementing a Data Warehouse (767) and SQL Business Intelligence are required. Benefits ABM is a dynamic company and you will have exposure to many different systems and industries.  If you are an inquisitive person who likes change, then this opportunity will a provide variety of technical and commercial challenges.  Salary plus bonus Opportunities to learn Career growth Flexible work options",Data Analytics Consultant,Full Time,https://www.seek.com.au/job/38865477?type=standout&searchrequesttoken=a80937a5-feb6-4baf-89b1-e8ba3d7c104f,Sydney,23 Apr 2019,"$100,000 - $119,999",research scientist,", CBD, Inner West & Eastern Suburbs"
519,Aktana,Information & Communication Technology,", Engineering - Software","POSITION SUMMARY We are looking for a talented Customer Success Engineer (CSE) who is excited about working in a rapidly growing technology company and thrives in a fun, but fast-paced and challenging environment.  Our Customer Success team advises and guides our clients from on-boarding and requirements gathering to deployment, through production launch and ongoing success management.  The CSE is responsible for leading the technical and data integration activities between our clients and Aktana while ensuring that data inputs align with business rules and that metrics, variables, events, and other data requirements are captured appropriately in documentation and workflows. LOCATION Sydney, Australia REPORT TO  Chief Customer Officer RESPONSIBILITIES  Work with customers to gain a deep understanding of their business processes, system environments and data infrastructure Attend customer requirement workshops to define business/technical requirements Design and implement Aktana solutions and corresponding ETL process Implement quality assurance and data cleansing techniques as required Preparation/support for User Acceptance Testing, including data staging Preparation/support for end-user training workshops Work cross-functionally with our product management team to design and prioritize features required for Aktana's technology stack Be able to represent Aktana in front of customers and build a trust-based working relationship Provide on-call customer support during critical periods Represent the customer/project needs while interfacing with internal teams, such as Engineering, Operations, QA, and Support teams REQUIRED SKILLS/EXPERIENCES  3-6 years of technical engineering experience or other client-facing technical roles SQL skills and experience with business analysis and reporting experience Exposure to large data volumes and their related issues Data experience specifically in a pharmaceutical sales environment with an understanding of their business entities and processes is a plus Experience with Salesforce/Veeva and Business Intelligence tool such as Tableau is a plus Self-motivation and a competitive, results-driven attitude ABOUT AKTANA Committed to customer success and innovation, Aktana is at the forefront of transforming how life sciences companies share information with healthcare providers (HCPs). Our proprietary platform harnesses machine learning algorithms to enable marketing and sales teams to seamlessly coordinate and optimize multichannel engagement with HCPs. Today 10 of the top 20 global biopharmaceutical companies are using Aktana to go to market smarter. Aktana is growing fast and looking for exceptional talent to join our team. We value hard work, transparency, and collaboration – and we like to have fun too! Headquartered in San Francisco, we have offices around the world, including Philadelphia, New York, London, Barcelona, Tokyo, Osaka, and Shanghai.",Customer Success Engineer,Full Time,https://www.seek.com.au/job/38887561?type=standout&searchrequesttoken=a80937a5-feb6-4baf-89b1-e8ba3d7c104f,Sydney,27 Apr 2019,"$60,000 - $69,999",research scientist,", CBD, Inner West & Eastern Suburbs"
520,Greenstone Financial Services,Information & Communication Technology,", Developers/Programmers","
Greenstone is a leader in the sales and distribution of insurance products under a portfolio of credible owned and white-labelled brands. Brands include Real Insurance, RSPCA Pet Insurance, Guardian, Medibank, Woolworths and Australian Senior
          Insurance Agency and Choosi.
The Role - Full Time 
Due to an exciting period of company and department growth, an opportunity as a Data Scientist has become available. In this role you will build models that help optimise customer acquisition within our digital channels and maximise profit.
          You will also assist in evaluating the performance of digital marketing activity and communicate insights to the analytics & marketing teams.The successful candidate will play a pivotal role within the analytics department in
          presenting insights (focused highly on digital marketing) and communicating these to stakeholders across the business.
Position Requirements  
Essential

Tertiary qualification in a relevant Computer Science, Statistics, Mathematics, Science or Engineering discipline
Experience (typically 1-4 years) in a similar insight driven data analytics area with a focus on digital marketing analytics, preferably in financial services
Strong experience in SQL (MSSQL/Postgres/BigQuery/Redshift)
Proficiency in scripting or programming languages (Python/R/etc.)
Experience communicating insights through easy to understand visualisations
Experience building analytical and financial models
An understanding of machine learning algorithms and inferential statistical analysis
Comprehensive understanding of MS Excel and other applications within the MS Office suite
Strong communication and stakeholder management

Desirable

Masters or PhD in a relevant discipline
Exposure to Google analytics and other web based analytics systems
An understanding of marketing mix modelling
Exposure to BigQuery & accessing BigQuery through python
Working with APIs to pull from third party sources
Experience working with code repositories (git/bitbucket)
Success in Kaggle competitions

What's in it for you?

A rewarding role working within a valued and passionate analytics department
Great central location - avoid the hustle and bustle of the city and the stressful commute!
Competitive Base Salary + Super

To be eligible you must be a permanent resident with full working rights in Australia.
Apply Now or visit www.greenstone.com.au for more information
No agencies please
",Data Scientist,Full Time,https://www.seek.com.au/job/38991456?type=standout&searchrequesttoken=a80937a5-feb6-4baf-89b1-e8ba3d7c104f,Sydney,10 May 2019,NA,research scientist,", North West & Hills District"
